valence,arousal,mood_top,mood_top_score,clap_top1,clap_top1_score,clap_top2,clap_top2_score,clap_top3,clap_top3_score,mood_acoustic,mood_aggressive,mood_electronic,mood_happy,mood_party,mood_relaxed,mood_sad,prose,filename
-0.8386,0.3432,mood_sad,0.8454,digital chill,0.1862,sleazy lounging,0.1831,chase adrenaline,0.1595,0.0978,0.4308,0.8341,0.2223,0.4108,0.4984,0.8454,"A somber, restless ache permeates, with a digital chill that feels like a void's whisper and a faint surge of adrenaline.",Infected Mushroom - I Shine [HQ Audio].mp3
-1.1044,0.3279,mood_electronic,0.9814,extraterrestrial calm,0.3139,anxious propulsive dread,0.3087,subterranean dread,0.2712,0.0211,0.4986,0.9814,0.0481,0.2080,0.3787,0.9032,"Extraterrestrial calm lingers, but anxious propulsive dread and subterranean dread surge, weaving a meditative grief that feels sleazy lounging.",Infected Mushroom - Cream.mp3
-0.9586,0.3164,mood_electronic,0.9753,voidstaring nihilism,0.2361,chase adrenaline,0.2339,adolescent angst,0.2071,0.0668,0.4185,0.9753,0.1120,0.3281,0.4302,0.8613,"Void-staring nihilism and adolescent angst churn, chased by neon-lit lust that sparks a fleeting adrenaline, all wrapped in icy detachment.",Infected Mushroom - Can't Stop.mp3
-0.7044,0.3124,mood_electronic,0.9778,glacial drift,0.3522,wide-eyed wonder,0.3334,unstable euphoria,0.3235,0.1765,0.1455,0.9778,0.1533,0.3755,0.2086,0.7849,"A glacial drift of sorrow unfurls, its icy silence echoing a breakup numbness that clings. In the quiet, brief wide‑eyed wonder glimmers, hinting at an unstable euphoria that refuses to fully resolve.",Infected Mushroom & Savant - Rise Up (HD 1080p).mp3
-1.1932,0.2859,mood_electronic,0.9727,warehouse rave delirium,0.4083,unstable euphoria,0.3936,transcendent and weightless,0.3218,0.0071,0.7219,0.9727,0.0826,0.0716,0.5076,0.9148,"A warehouse rave delirium merges with aggression and intensity, spiraling into a surrender of sorrow, a descent of chaos and a drift of melancholy.",Infected Mushroom - Nerds On Mushrooms (feat. Pegboard Nerds).mp3
-1.2398,0.2633,mood_sad,0.9498,anxious propulsive dread,0.3648,ecstatic surrender,0.3484,warehouse rave delirium,0.3414,0.0047,0.6421,0.9376,0.0310,0.2867,0.6655,0.9498,"Anxiety propels forward, surrender follows, aggression fades into relaxation.",Infected Mushroom - One Absolute.mp3
-1.1769,0.2553,mood_electronic,0.9898,playful and unhinged,0.2625,sinner relish,0.2448,chase adrenaline,0.2363,0.0120,0.5482,0.9898,0.0243,0.2458,0.5387,0.9271,"A restless, manic pulse fuels a defiant ache, a frantic celebration of loss. It feels like a frantic, almost unhinged lament that refuses to let go.",Infected_Mushroom_-_Zoan_Zound_2015[www.MP3Fiber.com].mp3
-0.6852,0.2330,mood_electronic,0.9163,slow-burning melancholy,0.4199,dawn-light hope,0.3918,glacial drift,0.3789,0.1109,0.1014,0.9163,0.0931,0.3422,0.2106,0.7276,"Slow‑burning melancholy drifts, glacial and hushed, while a fragile dawn‑light hope flickers through the gloom, offering a quiet lift.",Infected Mushroom - Special Place.mp3
-1.3748,0.2205,mood_electronic,0.9964,chase adrenaline,0.2920,transcendent and weightless,0.2300,digital chill,0.2219,0.0013,0.8044,0.9964,0.0125,0.1092,0.6932,0.9851,"Sorrow and aggression collide, pulling the listener into a weightless, digital chase that feels both relentless and unsettling.",Infected_Mushroom_-_Frog_Machine[www.MP3Fiber.com].mp3
-0.9452,0.2050,mood_electronic,0.9220,defeat sulk,0.3500,sleazy lounging,0.3470,manic glee,0.3264,0.0153,0.7022,0.9220,0.3174,0.1604,0.6576,0.9115,"The track sways between defeat sulk, manic glee, and sardonic humor, conveying sadness, aggression, and defiance.",Infected Mushroom - Before.mp3
-0.5563,0.1889,mood_sad,0.8359,sneering swagger,0.2187,wedding ecstasy,0.1971,sinner relish,0.1939,0.1116,0.3781,0.8300,0.4687,0.3320,0.5212,0.8359,"A melancholy defiance drifts through the track, its quiet swagger echoing a sorrowful, unhinged edge.",Infected Mushroom - IM 21 Pt. 1 [Full EP] ᴴᴰ.mp3
-1.1379,0.1813,mood_electronic,0.9573,chase adrenaline,0.3495,playful and unhinged,0.2968,wedding ecstasy,0.2958,0.0250,0.6017,0.9573,0.0766,0.2183,0.6387,0.9137,"Sadness and aggression mingle, as a chase of adrenaline drives the listener toward a mania that feels like a wedding ecstasy, while beneath the chill of electronics the energy stays in check.",Infected Mushroom - Bark [HQ Audio].mp3
-1.1052,0.1710,mood_electronic,0.9725,chase adrenaline,0.2670,warehouse rave delirium,0.2553,wedding ecstasy,0.2396,0.0269,0.5065,0.9725,0.0766,0.1991,0.5346,0.9285,"A relentless chase of adrenaline pierces a sorrowful night, an ecstatic surrender that feels transcendent and weightless, trembling with aggressive resolve.",Infected Mushroom - Pink Nightmares (Full Version).mp3
-1.2197,0.1703,mood_electronic,0.9590,digital chill,0.2469,chase adrenaline,0.2261,warehouse rave delirium,0.1987,0.0100,0.6732,0.9590,0.0562,0.1508,0.6537,0.9392,"It echoes warehouse rave delirium while maintaining a digital chill, carrying aggression that drags sorrow into unhingedness. It invites a chase adrenaline that feels like sorrow's persistence.",Infected Mushroom - Serve My Thirst [HD].mp3
-1.0629,0.1663,mood_electronic,0.9654,chase adrenaline,0.4173,digital chill,0.3475,warehouse rave delirium,0.3469,0.0530,0.4452,0.9654,0.0571,0.1615,0.4404,0.8974,"It drifts through anxious, propulsive dread, chasing adrenaline within a digital chill that lingers like a sorrowful echo.",Infected Mushroom - S Is Here.mp3
-0.9020,0.1648,mood_electronic,0.8832,unstable euphoria,0.1271,revolutionary ardor,0.1070,wedding ecstasy,0.1051,0.0648,0.2861,0.8832,0.0779,0.3616,0.4829,0.8369,"Euphoria trembles beneath sadness, as yearning wrestles with surrender, while ardor, adrenaline, and ecstasy pulse in the background.",Infected Mushroom - None Of This Is Real.mp3
-1.1545,0.1588,mood_electronic,0.9950,ecstatic surrender,0.3256,glacial drift,0.3090,hollow joy,0.2694,0.0037,0.4766,0.9950,0.0247,0.2365,0.5543,0.9409,"Surrender drifts into a joy, euphoria trembles. Aggression lingers, and sadness pervades.",Infected Mushroom - Heavyweight.mp3
-1.0168,0.1563,mood_electronic,0.9797,unstable euphoria,0.3152,heist suspense,0.3138,glacial drift,0.2934,0.0220,0.3006,0.9797,0.0477,0.1263,0.2707,0.9141,"Sorrow drifts through the track, echoing a heist suspense that feels like an unstable euphoria. The mood lingers, a cold presence that settles like glacial drift.",Infected Mushroom - Never Ever Land.mp3
-1.2727,0.1510,mood_electronic,0.9858,chase adrenaline,0.1651,transcendent and weightless,0.1564,revolutionary ardor,0.1480,0.0011,0.9779,0.9858,0.1927,0.0639,0.8908,0.9764,"A chase of adrenaline and weightlessness collide, while aggression and sorrow thread through the track, evoking the ardor of revolution and the ecstasy of wedding.",Infected Mushroom Project 100.mp3
-1.0356,0.1461,mood_electronic,0.9637,wedding ecstasy,0.1396,playful and unhinged,0.1220,chase adrenaline,0.1113,0.0233,0.5295,0.9637,0.1524,0.1695,0.5529,0.9233,"A melancholy urgency surges, a restless, electronic pulse that feels both sorrowful and defiant.",Infected mushroom - saeed.mp3
-1.0984,0.1380,mood_electronic,0.9085,plastic gloss,0.2152,playful and unhinged,0.2149,chase adrenaline,0.2123,0.0631,0.5901,0.9085,0.0803,0.1422,0.5944,0.8836,"The track swirls in a theatrical sadness, its raw aggression flickering through playful, unhinged moments tinged with a quiet, digital chill.",Infected Mushroom - Guitarmass [Monstercat Release].mp3
-0.9774,0.1353,mood_electronic,0.9420,warehouse rave delirium,0.3123,ecstatic surrender,0.3069,chase adrenaline,0.2923,0.0148,0.2878,0.9420,0.0779,0.2925,0.4450,0.9114,"Warehouse rave delirium echoes against a backdrop of sorrow, surrender pulsing as a heartbeat that lingers in the void, while chase adrenaline stirs beneath the surface.",Infected Mushroom - Surprise.mp3
-1.1598,0.1138,mood_electronic,0.9825,freeway hypnosis,0.1320,mechanical chant,0.0943,hand-stitched warmth,0.0709,0.0085,0.6390,0.9825,0.0692,0.1240,0.6492,0.9095,"Through a mechanical chant and freeway hypnosis, the track weaves aggression and sadness, its vintage decay echoing hand‑stitched warmth like a pulse of loneliness.",Infected Mushroom - Deck & Sheker.mp3
-0.7938,0.1136,mood_electronic,0.9306,digital chill,0.2599,playful and unhinged,0.2253,manic glee,0.2246,0.0400,0.1949,0.9306,0.1896,0.2688,0.3500,0.8859,"A sorrowful digital chill drifts through the piece, its restless, unhinged playfulness echoing a quiet, melancholic yearning.",Infected_Mushroom_-_Send_Me_an_Angel_HD[www.MP3Fiber.com].mp3
-1.0589,0.1102,mood_electronic,0.9766,anxious propulsive dread,0.2820,warehouse rave delirium,0.2780,chase adrenaline,0.2774,0.0170,0.3484,0.9766,0.0390,0.1386,0.3768,0.9237,"Uneasy, propulsive dread pulls the listener into a relentless chase of adrenaline, a desperate surrender that feels like a haunting echo of sorrow. The atmosphere is a low‑key, intense melancholy that clings to the edge of the mind.",Infected Mushroom - Where is S.mp3
-0.9656,0.1003,mood_electronic,0.9976,boudoir intimacy,0.3083,ecstatic surrender,0.3061,warehouse rave delirium,0.2890,0.0066,0.0799,0.9976,0.0297,0.3380,0.3175,0.9554,"The track settles into an intimacy, its electronic pulse echoing unspoken longing. An ecstatic surrender drifts through a warehouse rave delirium, echoing sorrow.",Infected Mushroom  Precious [HD].mp3
-0.9609,0.0935,mood_electronic,0.9735,warehouse rave delirium,0.4203,chase adrenaline,0.3277,mechanical chant,0.3119,0.0494,0.3451,0.9735,0.1158,0.2069,0.4586,0.9041,"A sorrowful, mechanical pulse drags the listener through a warehouse of delirium, a restrained chase of adrenaline that feels both weightless and unstable.",Infected Mushroom - Mesumpelet.mp3
